id,apartment_reservation,account_number,added_to_be_sent_to_sap_at,due_date,invoice_number,reference_number,sent_to_sap_at,type,value
373,286,FI2112345600000785,1.6.2022,15.12.2022,000000373,73000003733,,PAYMENT_2,20 087.00
374,286,FI8612345612345678,1.6.2022,30.3.2023,000000374,73000003746,,PAYMENT_3,22 319.00
375,286,FI8612345612345678,1.6.2022,30.6.2023,000000375,73000003759,,PAYMENT_4,22 319.00
376,286,FI0365432187654321,1.6.2022,15.2.2023,000000376,73000003762,,PAYMENT_5,27 899.00
377,286,FI8612345612345678,,9.9.9999,000000377,73000003775,,PAYMENT_6,8 928.00
378,286,FI8612345612345678,,9.9.9999,000000378,73000003788,,PAYMENT_7,2 232.10
379,270,FI8612345612345678,1.6.2022,12.4.2022,000000379,73000003791,,RESERVATION_FEE,1 681.88
380,270,FI2112345600000785,1.6.2022,30.8.2022,000000380,73000003801,,PAYMENT_1,8 502.00
381,270,FI2112345600000785,1.6.2022,15.12.2022,000000381,73000003814,,PAYMENT_2,26 187.00
382,270,FI8612345612345678,1.6.2022,30.3.2023,000000382,73000003827,,PAYMENT_3,29 097.00
383,270,FI8612345612345678,1.6.2022,30.6.2023,000000383,73000003830,,PAYMENT_4,29 097.00
384,270,FI0365432187654321,1.6.2022,15.2.2023,000000384,73000003843,,PAYMENT_5,36 371.00
385,270,FI8612345612345678,,9.9.9999,000000385,73000003856,,PAYMENT_6,11 639.00
386,270,FI8612345612345678,,9.9.9999,000000386,73000003869,,PAYMENT_7,2 908.11
387,294,FI8612345612345678,1.6.2022,12.4.2022,000000387,73000003872,,RESERVATION_FEE,1 681.88
388,294,FI2112345600000785,1.6.2022,30.8.2022,000000388,73000003885,,PAYMENT_1,6 277.00
389,294,FI2112345600000785,1.6.2022,15.12.2022,000000389,73000003898,,PAYMENT_2,20 465.00
390,294,FI8612345612345678,1.6.2022,30.3.2023,000000390,73000003908,,PAYMENT_3,22 739.00
391,294,FI8612345612345678,1.6.2022,30.6.2023,000000391,73000003911,,PAYMENT_4,22 739.00
392,294,FI0365432187654321,1.6.2022,15.2.2023,000000392,73000003924,,PAYMENT_5,28 424.00
393,294,FI8612345612345678,,9.9.9999,000000393,73000003937,,PAYMENT_6,9 096.00
394,294,FI8612345612345678,,9.9.9999,000000394,73000003940,,PAYMENT_7,2 273.38
395,299,FI8612345612345678,1.6.2022,12.4.2022,000000395,73000003953,,RESERVATION_FEE,1 681.88
396,299,FI2112345600000785,1.6.2022,30.8.2022,000000396,73000003966,,PAYMENT_1,11 141.00
397,299,FI2112345600000785,1.6.2022,15.12.2022,000000397,73000003979,,PAYMENT_2,32 972.00
398,299,FI8612345612345678,1.6.2022,30.3.2023,000000398,73000003982,,PAYMENT_3,36 636.00
399,299,FI8612345612345678,1.6.2022,30.6.2023,000000399,73000003995,,PAYMENT_4,36 636.00
400,299,FI0365432187654321,1.6.2022,15.2.2023,000000400,73000004004,,PAYMENT_5,45 794.00
401,299,FI8612345612345678,,9.9.9999,000000401,73000004017,,PAYMENT_6,14 654.00
402,299,FI8612345612345678,,9.9.9999,000000402,73000004020,,PAYMENT_7,3 663.10
403,289,FI8612345612345678,1.6.2022,12.4.2022,000000403,73000004033,,RESERVATION_FEE,1 681.88
404,289,FI2112345600000785,1.6.2022,30.8.2022,000000404,73000004046,,PAYMENT_1,7 262.00
405,289,FI2112345600000785,1.6.2022,15.12.2022,000000405,73000004059,,PAYMENT_2,22 999.00
406,289,FI8612345612345678,1.6.2022,30.3.2023,000000406,73000004062,,PAYMENT_3,25 554.00
407,289,FI8612345612345678,1.6.2022,30.6.2023,000000407,73000004075,,PAYMENT_4,25 554.00
408,289,FI0365432187654321,1.6.2022,15.2.2023,000000408,73000004088,,PAYMENT_5,31 942.00
409,289,FI8612345612345678,,9.9.9999,000000409,73000004091,,PAYMENT_6,10 222.00
410,289,FI8612345612345678,,9.9.9999,000000410,73000004101,,PAYMENT_7,2 554.75
411,309,FI8612345612345678,1.6.2022,12.4.2022,000000411,73000004114,,RESERVATION_FEE,1 681.88
412,309,FI2112345600000785,1.6.2022,30.8.2022,000000412,73000004127,,PAYMENT_1,11 686.00
413,309,FI2112345600000785,1.6.2022,15.12.2022,000000413,73000004130,,PAYMENT_2,34 375.00
414,309,FI8612345612345678,1.6.2022,30.3.2023,000000414,73000004143,,PAYMENT_3,38 195.00
415,309,FI8612345612345678,1.6.2022,30.6.2023,000000415,73000004156,,PAYMENT_4,38 195.00
416,309,FI0365432187654321,1.6.2022,15.2.2023,000000416,73000004169,,PAYMENT_5,47 744.00
417,309,FI8612345612345678,,9.9.9999,000000417,73000004172,,PAYMENT_6,15 278.00
418,309,FI8612345612345678,,9.9.9999,000000418,73000004185,,PAYMENT_7,3 820.07
419,298,FI8612345612345678,1.6.2022,12.4.2022,000000419,73000004198,,RESERVATION_FEE,1 681.88
420,298,FI2112345600000785,1.6.2022,30.8.2022,000000420,73000004208,,PAYMENT_1,4 969.00
421,298,FI2112345600000785,1.6.2022,15.12.2022,000000421,73000004211,,PAYMENT_2,17 102.00
422,298,FI8612345612345678,1.6.2022,30.3.2023,000000422,73000004224,,PAYMENT_3,19 003.00
423,298,FI8612345612345678,1.6.2022,30.6.2023,000000423,73000004237,,PAYMENT_4,19 003.00
424,298,FI0365432187654321,1.6.2022,15.2.2023,000000424,73000004240,,PAYMENT_5,23 753.00
425,298,FI8612345612345678,,9.9.9999,000000425,73000004253,,PAYMENT_6,7 601.00
426,298,FI8612345612345678,,9.9.9999,000000426,73000004266,,PAYMENT_7,1 899.74
427,225,FI8612345612345678,1.6.2022,12.4.2022,000000427,73000004279,,RESERVATION_FEE,1 681.88
428,225,FI2112345600000785,1.6.2022,30.8.2022,000000428,73000004282,,PAYMENT_1,4 778.00
429,225,FI2112345600000785,1.6.2022,15.12.2022,000000429,73000004295,,PAYMENT_2,16 612.00
430,225,FI8612345612345678,1.6.2022,30.3.2023,000000430,73000004305,,PAYMENT_3,18 458.00
431,225,FI8612345612345678,1.6.2022,30.6.2023,000000431,73000004318,,PAYMENT_4,18 458.00
432,225,FI0365432187654321,1.6.2022,15.2.2023,000000432,73000004321,,PAYMENT_5,23 072.00
433,225,FI8612345612345678,,9.9.9999,000000433,73000004334,,PAYMENT_6,7 383.00
434,225,FI8612345612345678,,9.9.9999,000000434,73000004347,,PAYMENT_7,1 845.89
435,268,FI8612345612345678,1.6.2022,12.4.2022,000000435,73000004350,,RESERVATION_FEE,1 681.88
436,268,FI2112345600000785,1.6.2022,30.8.2022,000000436,73000004363,,PAYMENT_1,4 728.00
437,268,FI2112345600000785,1.6.2022,15.12.2022,000000437,73000004376,,PAYMENT_2,16 482.00
438,268,FI8612345612345678,1.6.2022,30.3.2023,000000438,73000004389,,PAYMENT_3,18 313.00
439,268,FI8612345612345678,1.6.2022,30.6.2023,000000439,73000004392,,PAYMENT_4,18 313.00
440,268,FI0365432187654321,1.6.2022,15.2.2023,000000440,73000004402,,PAYMENT_5,22 891.00
441,268,FI8612345612345678,,9.9.9999,000000441,73000004415,,PAYMENT_6,7 325.00
442,268,FI8612345612345678,,9.9.9999,000000442,73000004428,,PAYMENT_7,1 830.33
443,235,FI8612345612345678,1.6.2022,12.4.2022,000000443,73000004431,,RESERVATION_FEE,1 681.88
444,235,FI2112345600000785,1.6.2022,30.8.2022,000000444,73000004444,,PAYMENT_1,2 886.00
445,235,FI2112345600000785,1.6.2022,15.12.2022,000000445,73000004457,,PAYMENT_2,11 745.00
446,235,FI8612345612345678,1.6.2022,30.3.2023,000000446,73000004460,,PAYMENT_3,13 050.00
447,235,FI8612345612345678,1.6.2022,30.6.2023,000000447,73000004473,,PAYMENT_4,13 050.00
448,235,FI0365432187654321,1.6.2022,15.2.2023,000000448,73000004486,,PAYMENT_5,16 312.00
449,235,FI8612345612345678,,9.9.9999,000000449,73000004499,,PAYMENT_6,5 220.00
450,235,FI8612345612345678,,9.9.9999,000000450,73000004509,,PAYMENT_7,1 304.28
451,243,FI8612345612345678,1.6.2022,12.4.2022,000000451,73000004512,,RESERVATION_FEE,1 681.88
452,243,FI2112345600000785,1.6.2022,30.8.2022,000000452,73000004525,,PAYMENT_1,9 526.00
453,243,FI2112345600000785,1.6.2022,15.12.2022,000000453,73000004538,,PAYMENT_2,28 821.00
454,243,FI8612345612345678,1.6.2022,30.3.2023,000000454,73000004541,,PAYMENT_3,32 023.00
455,243,FI8612345612345678,1.6.2022,30.6.2023,000000455,73000004554,,PAYMENT_4,32 023.00
456,243,FI0365432187654321,1.6.2022,15.2.2023,000000456,73000004567,,PAYMENT_5,40 029.00
457,243,FI8612345612345678,,9.9.9999,000000457,73000004570,,PAYMENT_6,12 809.00
458,243,FI8612345612345678,,9.9.9999,000000458,73000004583,,PAYMENT_7,3 204.05
459,308,FI8612345612345678,1.6.2022,12.4.2022,000000459,73000004596,,RESERVATION_FEE,1 681.88
460,308,FI2112345600000785,1.6.2022,30.8.2022,000000460,73000004606,,PAYMENT_1,6 329.00
461,308,FI2112345600000785,1.6.2022,15.12.2022,000000461,73000004619,,PAYMENT_2,20 600.00
462,308,FI8612345612345678,1.6.2022,30.3.2023,000000462,73000004622,,PAYMENT_3,22 889.00
463,308,FI8612345612345678,1.6.2022,30.6.2023,000000463,73000004635,,PAYMENT_4,22 889.00
464,308,FI0365432187654321,1.6.2022,15.2.2023,000000464,73000004648,,PAYMENT_5,28 611.00
465,308,FI8612345612345678,,9.9.9999,000000465,73000004651,,PAYMENT_6,9 156.00
466,308,FI8612345612345678,,9.9.9999,000000466,73000004664,,PAYMENT_7,2 289.09
467,251,FI8612345612345678,1.6.2022,12.4.2022,000000467,73000004677,,RESERVATION_FEE,1 681.88
468,251,FI2112345600000785,1.6.2022,30.8.2022,000000468,73000004680,,PAYMENT_1,8 793.00
469,251,FI2112345600000785,1.6.2022,15.12.2022,000000469,73000004693,,PAYMENT_2,26 935.00
470,251,FI8612345612345678,1.6.2022,30.3.2023,000000470,73000004703,,PAYMENT_3,29 928.00
471,251,FI8612345612345678,1.6.2022,30.6.2023,000000471,73000004716,,PAYMENT_4,29 928.00
472,251,FI0365432187654321,1.6.2022,15.2.2023,000000472,73000004729,,PAYMENT_5,37 410.00
473,251,FI8612345612345678,,9.9.9999,000000473,73000004732,,PAYMENT_6,11 971.00
474,251,FI8612345612345678,,9.9.9999,000000474,73000004745,,PAYMENT_7,2 994.23
475,242,FI8612345612345678,1.6.2022,12.4.2022,000000475,73000004758,,RESERVATION_FEE,1 681.88
476,242,FI2112345600000785,1.6.2022,30.8.2022,000000476,73000004761,,PAYMENT_1,6 501.00
477,242,FI2112345600000785,1.6.2022,15.12.2022,000000477,73000004774,,PAYMENT_2,21 043.00
478,242,FI8612345612345678,1.6.2022,30.3.2023,000000478,73000004787,,PAYMENT_3,23 381.00
479,242,FI8612345612345678,1.6.2022,30.6.2023,000000479,73000004790,,PAYMENT_4,23 381.00
480,242,FI0365432187654321,1.6.2022,15.2.2023,000000480,73000004800,,PAYMENT_5,29 226.00
481,242,FI8612345612345678,,9.9.9999,000000481,73000004813,,PAYMENT_6,9 352.00
482,242,FI8612345612345678,,9.9.9999,000000482,73000004826,,PAYMENT_7,2 338.08
483,296,FI8612345612345678,1.6.2022,12.4.2022,000000483,73000004839,,RESERVATION_FEE,1 681.88
484,296,FI2112345600000785,1.6.2022,30.8.2022,000000484,73000004842,,PAYMENT_1,11 364.00
485,296,FI2112345600000785,1.6.2022,15.12.2022,000000485,73000004855,,PAYMENT_2,33 548.00
486,296,FI8612345612345678,1.6.2022,30.3.2023,000000486,73000004868,,PAYMENT_3,37 275.00
487,296,FI8612345612345678,1.6.2022,30.6.2023,000000487,73000004871,,PAYMENT_4,37 275.00
488,296,FI0365432187654321,1.6.2022,15.2.2023,000000488,73000004884,,PAYMENT_5,46 594.00
489,296,FI8612345612345678,,9.9.9999,000000489,73000004897,,PAYMENT_6,14 910.00
490,296,FI8612345612345678,,9.9.9999,000000490,73000004907,,PAYMENT_7,3 728.94
491,227,FI8612345612345678,1.6.2022,12.4.2022,000000491,73000004910,,RESERVATION_FEE,1 681.88
492,227,FI2112345600000785,1.6.2022,30.8.2022,000000492,73000004923,,PAYMENT_1,7 519.00
493,227,FI2112345600000785,1.6.2022,15.12.2022,000000493,73000004936,,PAYMENT_2,23 661.00
494,227,FI8612345612345678,1.6.2022,30.3.2023,000000494,73000004949,,PAYMENT_3,26 290.00
495,227,FI8612345612345678,1.6.2022,30.6.2023,000000495,73000004952,,PAYMENT_4,26 290.00
496,227,FI0365432187654321,1.6.2022,15.2.2023,000000496,73000004965,,PAYMENT_5,32 862.00
497,227,FI8612345612345678,,9.9.9999,000000497,73000004978,,PAYMENT_6,10 516.00
498,227,FI8612345612345678,,9.9.9999,000000498,73000004981,,PAYMENT_7,2 628.30
499,239,FI8612345612345678,1.6.2022,12.4.2022,000000499,73000004994,,RESERVATION_FEE,1 681.88
500,239,FI2112345600000785,1.6.2022,30.8.2022,000000500,73000005003,,PAYMENT_1,5 305.00
501,239,FI2112345600000785,1.6.2022,15.12.2022,000000501,73000005016,,PAYMENT_2,17 966.00
502,239,FI8612345612345678,1.6.2022,30.3.2023,000000502,73000005029,,PAYMENT_3,19 962.00
503,239,FI8612345612345678,1.6.2022,30.6.2023,000000503,73000005032,,PAYMENT_4,19 962.00
504,239,FI0365432187654321,1.6.2022,15.2.2023,000000504,73000005045,,PAYMENT_5,24 953.00
505,239,FI8612345612345678,,9.9.9999,000000505,73000005058,,PAYMENT_6,7 985.00
506,239,FI8612345612345678,,9.9.9999,000000506,73000005061,,PAYMENT_7,1 995.72
507,271,FI8612345612345678,1.6.2022,12.4.2022,000000507,73000005074,,RESERVATION_FEE,1 681.88
508,271,FI2112345600000785,1.6.2022,30.8.2022,000000508,73000005087,,PAYMENT_1,5 126.00
509,271,FI2112345600000785,1.6.2022,15.12.2022,000000509,73000005090,,PAYMENT_2,17 507.00
510,271,FI8612345612345678,1.6.2022,30.3.2023,000000510,73000005100,,PAYMENT_3,19 452.00
511,271,FI8612345612345678,1.6.2022,30.6.2023,000000511,73000005113,,PAYMENT_4,19 452.00
512,271,FI0365432187654321,1.6.2022,15.2.2023,000000512,73000005126,,PAYMENT_5,24 315.00
513,271,FI8612345612345678,,9.9.9999,000000513,73000005139,,PAYMENT_6,7 781.00
514,271,FI8612345612345678,,9.9.9999,000000514,73000005142,,PAYMENT_7,1 947.02
515,257,FI8612345612345678,1.6.2022,12.4.2022,000000515,73000005155,,RESERVATION_FEE,1 681.88
516,257,FI2112345600000785,1.6.2022,30.8.2022,000000516,73000005168,,PAYMENT_1,5 028.00
517,257,FI2112345600000785,1.6.2022,15.12.2022,000000517,73000005171,,PAYMENT_2,17 255.00
518,257,FI8612345612345678,1.6.2022,30.3.2023,000000518,73000005184,,PAYMENT_3,19 172.00
519,257,FI8612345612345678,1.6.2022,30.6.2023,000000519,73000005197,,PAYMENT_4,19 172.00
520,257,FI0365432187654321,1.6.2022,15.2.2023,000000520,73000005207,,PAYMENT_5,23 966.00
521,257,FI8612345612345678,,9.9.9999,000000521,73000005210,,PAYMENT_6,7 669.00
522,257,FI8612345612345678,,9.9.9999,000000522,73000005223,,PAYMENT_7,1 918.31
523,267,FI8612345612345678,1.6.2022,12.4.2022,000000523,73000005236,,RESERVATION_FEE,1 681.88
524,267,FI2112345600000785,1.6.2022,30.8.2022,000000524,73000005249,,PAYMENT_1,3 041.00
525,267,FI2112345600000785,1.6.2022,15.12.2022,000000525,73000005252,,PAYMENT_2,12 145.00
526,267,FI8612345612345678,1.6.2022,30.3.2023,000000526,73000005265,,PAYMENT_3,13 495.00
527,267,FI8612345612345678,1.6.2022,30.6.2023,000000527,73000005278,,PAYMENT_4,13 495.00
528,267,FI0365432187654321,1.6.2022,15.2.2023,000000528,73000005281,,PAYMENT_5,16 868.00
529,267,FI8612345612345678,,9.9.9999,000000529,73000005294,,PAYMENT_6,5 398.00
530,267,FI8612345612345678,,9.9.9999,000000530,73000005304,,PAYMENT_7,1 349.71
531,273,FI8612345612345678,1.6.2022,12.4.2022,000000531,73000005317,,RESERVATION_FEE,1 681.88
532,273,FI2112345600000785,1.6.2022,30.8.2022,000000532,73000005320,,PAYMENT_1,9 588.00
533,273,FI2112345600000785,1.6.2022,15.12.2022,000000533,73000005333,,PAYMENT_2,28 980.00
534,273,FI8612345612345678,1.6.2022,30.3.2023,000000534,73000005346,,PAYMENT_3,32 200.00
535,273,FI8612345612345678,1.6.2022,30.6.2023,000000535,73000005359,,PAYMENT_4,32 200.00
536,273,FI0365432187654321,1.6.2022,15.2.2023,000000536,73000005362,,PAYMENT_5,40 250.00
537,273,FI8612345612345678,,9.9.9999,000000537,73000005375,,PAYMENT_6,12 880.00
538,273,FI8612345612345678,,9.9.9999,000000538,73000005388,,PAYMENT_7,3 221.61
539,1000180,FI2112345600000785,1.6.2022,12.4.2022,000000539,73000005391,,RESERVATION_FEE,1 000.00
540,1000180,FI2112345600000785,1.6.2022,30.6.2022,000000540,73000005401,,RIGHT_OF_RESIDENCE_FEE,18 640.00
541,1000188,FI2112345600000785,1.6.2022,12.4.2022,000000541,73000005414,,RESERVATION_FEE,1 000.00
542,1000188,FI2112345600000785,1.6.2022,30.6.2022,000000542,73000005427,,RIGHT_OF_RESIDENCE_FEE,32 444.00
543,1000192,FI2112345600000785,1.6.2022,12.4.2022,000000543,73000005430,,RESERVATION_FEE,1 000.00
544,1000192,FI2112345600000785,1.6.2022,30.6.2022,000000544,73000005443,,RIGHT_OF_RESIDENCE_FEE,23 385.00
545,1000196,FI2112345600000785,1.6.2022,12.4.2022,000000545,73000005456,,RESERVATION_FEE,1 000.00
546,1000196,FI2112345600000785,1.6.2022,30.6.2022,000000546,73000005469,,RIGHT_OF_RESIDENCE_FEE,29 589.00
547,1000198,FI2112345600000785,1.6.2022,12.4.2022,000000547,73000005472,,RESERVATION_FEE,1 000.00
548,1000198,FI2112345600000785,1.6.2022,30.6.2022,000000548,73000005485,,RIGHT_OF_RESIDENCE_FEE,33 825.00
549,1000202,FI2112345600000785,1.6.2022,12.4.2022,000000549,73000005498,,RESERVATION_FEE,1 000.00
550,1000202,FI2112345600000785,1.6.2022,30.6.2022,000000550,73000005508,,RIGHT_OF_RESIDENCE_FEE,23 659.00
551,1000205,FI2112345600000785,1.6.2022,12.4.2022,000000551,73000005511,,RESERVATION_FEE,1 000.00
552,1000205,FI2112345600000785,1.6.2022,30.6.2022,000000552,73000005524,,RIGHT_OF_RESIDENCE_FEE,30 199.00
553,1000209,FI2112345600000785,1.6.2022,12.4.2022,000000553,73000005537,,RESERVATION_FEE,1 000.00
554,1000209,FI2112345600000785,1.6.2022,30.6.2022,000000554,73000005540,,RIGHT_OF_RESIDENCE_FEE,34 169.00
555,1000212,FI2112345600000785,1.6.2022,12.4.2022,000000555,73000005553,,RESERVATION_FEE,1 000.00
556,1000212,FI2112345600000785,1.6.2022,30.6.2022,000000556,73000005566,,RIGHT_OF_RESIDENCE_FEE,23 901.00
557,1000215,FI2112345600000785,1.6.2022,12.4.2022,000000557,73000005579,,RESERVATION_FEE,1 000.00
558,1000215,FI2112345600000785,1.6.2022,30.6.2022,000000558,73000005582,,RIGHT_OF_RESIDENCE_FEE,30 508.00
559,1000218,FI2112345600000785,1.6.2022,12.4.2022,000000559,73000005595,,RESERVATION_FEE,1 000.00
560,1000218,FI2112345600000785,1.6.2022,30.6.2022,000000560,73000005605,,RIGHT_OF_RESIDENCE_FEE,24 465.00
561,1000222,FI2112345600000785,1.6.2022,12.4.2022,000000561,73000005618,,RESERVATION_FEE,1 000.00
562,1000222,FI2112345600000785,1.6.2022,30.6.2022,000000562,73000005621,,RIGHT_OF_RESIDENCE_FEE,30 793.00
563,1000225,FI2112345600000785,1.6.2022,12.4.2022,000000563,73000005634,,RESERVATION_FEE,1 000.00
564,1000225,FI2112345600000785,1.6.2022,30.6.2022,000000564,73000005647,,RIGHT_OF_RESIDENCE_FEE,20 428.00
565,1000227,FI2112345600000785,1.6.2022,12.4.2022,000000565,73000005650,,RESERVATION_FEE,1 000.00
566,1000227,FI2112345600000785,1.6.2022,30.6.2022,000000566,73000005663,,RIGHT_OF_RESIDENCE_FEE,20 209.00
567,1000232,FI2112345600000785,1.6.2022,12.4.2022,000000567,73000005676,,RESERVATION_FEE,1 000.00
568,1000232,FI2112345600000785,1.6.2022,30.6.2022,000000568,73000005689,,RIGHT_OF_RESIDENCE_FEE,30 793.00
569,1000233,FI2112345600000785,1.6.2022,12.4.2022,000000569,73000005692,,RESERVATION_FEE,1 000.00
570,1000233,FI2112345600000785,1.6.2022,30.6.2022,000000570,73000005702,,RIGHT_OF_RESIDENCE_FEE,33 633.00
571,1000237,FI2112345600000785,1.6.2022,12.4.2022,000000571,73000005715,,RESERVATION_FEE,1 000.00
572,1000237,FI2112345600000785,1.6.2022,30.6.2022,000000572,73000005728,,RIGHT_OF_RESIDENCE_FEE,20 854.00
573,1000239,FI2112345600000785,1.6.2022,12.4.2022,000000573,73000005731,,RESERVATION_FEE,1 000.00
574,1000239,FI2112345600000785,1.6.2022,30.6.2022,000000574,73000005744,,RIGHT_OF_RESIDENCE_FEE,20 635.00
575,1000241,FI2112345600000785,1.6.2022,12.4.2022,000000575,73000005757,,RESERVATION_FEE,1 000.00
576,1000241,FI2112345600000785,1.6.2022,30.6.2022,000000576,73000005760,,RIGHT_OF_RESIDENCE_FEE,31 427.00
577,1000242,FI2112345600000785,1.6.2022,12.4.2022,000000577,73000005773,,RESERVATION_FEE,1 000.00
578,1000242,FI2112345600000785,1.6.2022,30.6.2022,000000578,73000005786,,RIGHT_OF_RESIDENCE_FEE,30 766.00
