id,type,value,account_number,due_date,reference_number,apartment_reservation_id
406,PAYMENT_3,25 554.00,FI8612345612345678,30.3.2023,73000004062,62
407,PAYMENT_4,25 554.00,FI8612345612345678,30.6.2023,73000004075,62
408,PAYMENT_5,31 942.00,FI0365432187654321,15.2.2023,73000004088,62
409,PAYMENT_6,10 222.00,FI8612345612345678,9.9.9999,73000004091,62
410,PAYMENT_7,2 554.75,FI8612345612345678,9.9.9999,73000004101,62
411,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004114,63
412,PAYMENT_1,11 686.00,FI2112345600000785,30.8.2022,73000004127,63
413,PAYMENT_2,34 375.00,FI2112345600000785,15.12.2022,73000004130,63
414,PAYMENT_3,38 195.00,FI8612345612345678,30.3.2023,73000004143,63
415,PAYMENT_4,38 195.00,FI8612345612345678,30.6.2023,73000004156,63
416,PAYMENT_5,47 744.00,FI0365432187654321,15.2.2023,73000004169,63
417,PAYMENT_6,15 278.00,FI8612345612345678,9.9.9999,73000004172,63
418,PAYMENT_7,3 820.07,FI8612345612345678,9.9.9999,73000004185,63
419,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004198,64
420,PAYMENT_1,4 969.00,FI2112345600000785,30.8.2022,73000004208,64
421,PAYMENT_2,17 102.00,FI2112345600000785,15.12.2022,73000004211,64
422,PAYMENT_3,19 003.00,FI8612345612345678,30.3.2023,73000004224,64
423,PAYMENT_4,19 003.00,FI8612345612345678,30.6.2023,73000004237,64
424,PAYMENT_5,23 753.00,FI0365432187654321,15.2.2023,73000004240,64
425,PAYMENT_6,7 601.00,FI8612345612345678,9.9.9999,73000004253,64
426,PAYMENT_7,1 899.74,FI8612345612345678,9.9.9999,73000004266,64
427,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004279,65
428,PAYMENT_1,4 778.00,FI2112345600000785,30.8.2022,73000004282,65
429,PAYMENT_2,16 612.00,FI2112345600000785,15.12.2022,73000004295,65
430,PAYMENT_3,18 458.00,FI8612345612345678,30.3.2023,73000004305,65
431,PAYMENT_4,18 458.00,FI8612345612345678,30.6.2023,73000004318,65
432,PAYMENT_5,23 072.00,FI0365432187654321,15.2.2023,73000004321,65
433,PAYMENT_6,7 383.00,FI8612345612345678,9.9.9999,73000004334,65
434,PAYMENT_7,1 845.89,FI8612345612345678,9.9.9999,73000004347,65
435,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004350,66
436,PAYMENT_1,4 728.00,FI2112345600000785,30.8.2022,73000004363,66
437,PAYMENT_2,16 482.00,FI2112345600000785,15.12.2022,73000004376,66
438,PAYMENT_3,18 313.00,FI8612345612345678,30.3.2023,73000004389,66
439,PAYMENT_4,18 313.00,FI8612345612345678,30.6.2023,73000004392,66
440,PAYMENT_5,22 891.00,FI0365432187654321,15.2.2023,73000004402,66
441,PAYMENT_6,7 325.00,FI8612345612345678,9.9.9999,73000004415,66
442,PAYMENT_7,1 830.33,FI8612345612345678,9.9.9999,73000004428,66
443,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004431,67
444,PAYMENT_1,2 886.00,FI2112345600000785,30.8.2022,73000004444,67
445,PAYMENT_2,11 745.00,FI2112345600000785,15.12.2022,73000004457,67
446,PAYMENT_3,13 050.00,FI8612345612345678,30.3.2023,73000004460,67
447,PAYMENT_4,13 050.00,FI8612345612345678,30.6.2023,73000004473,67
448,PAYMENT_5,16 312.00,FI0365432187654321,15.2.2023,73000004486,67
449,PAYMENT_6,5 220.00,FI8612345612345678,9.9.9999,73000004499,67
450,PAYMENT_7,1 304.28,FI8612345612345678,9.9.9999,73000004509,67
451,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004512,68
452,PAYMENT_1,9 526.00,FI2112345600000785,30.8.2022,73000004525,68
453,PAYMENT_2,28 821.00,FI2112345600000785,15.12.2022,73000004538,68
454,PAYMENT_3,32 023.00,FI8612345612345678,30.3.2023,73000004541,68
455,PAYMENT_4,32 023.00,FI8612345612345678,30.6.2023,73000004554,68
456,PAYMENT_5,40 029.00,FI0365432187654321,15.2.2023,73000004567,68
457,PAYMENT_6,12 809.00,FI8612345612345678,9.9.9999,73000004570,68
458,PAYMENT_7,3 204.05,FI8612345612345678,9.9.9999,73000004583,68
459,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004596,69
460,PAYMENT_1,6 329.00,FI2112345600000785,30.8.2022,73000004606,69
461,PAYMENT_2,20 600.00,FI2112345600000785,15.12.2022,73000004619,69
462,PAYMENT_3,22 889.00,FI8612345612345678,30.3.2023,73000004622,69
463,PAYMENT_4,22 889.00,FI8612345612345678,30.6.2023,73000004635,69
464,PAYMENT_5,28 611.00,FI0365432187654321,15.2.2023,73000004648,69
465,PAYMENT_6,9 156.00,FI8612345612345678,9.9.9999,73000004651,69
466,PAYMENT_7,2 289.09,FI8612345612345678,9.9.9999,73000004664,69
467,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004677,70
468,PAYMENT_1,8 793.00,FI2112345600000785,30.8.2022,73000004680,70
469,PAYMENT_2,26 935.00,FI2112345600000785,15.12.2022,73000004693,70
470,PAYMENT_3,29 928.00,FI8612345612345678,30.3.2023,73000004703,70
471,PAYMENT_4,29 928.00,FI8612345612345678,30.6.2023,73000004716,70
472,PAYMENT_5,37 410.00,FI0365432187654321,15.2.2023,73000004729,70
473,PAYMENT_6,11 971.00,FI8612345612345678,9.9.9999,73000004732,70
474,PAYMENT_7,2 994.23,FI8612345612345678,9.9.9999,73000004745,70
475,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004758,71
476,PAYMENT_1,6 501.00,FI2112345600000785,30.8.2022,73000004761,71
477,PAYMENT_2,21 043.00,FI2112345600000785,15.12.2022,73000004774,71
478,PAYMENT_3,23 381.00,FI8612345612345678,30.3.2023,73000004787,71
479,PAYMENT_4,23 381.00,FI8612345612345678,30.6.2023,73000004790,71
480,PAYMENT_5,29 226.00,FI0365432187654321,15.2.2023,73000004800,71
481,PAYMENT_6,9 352.00,FI8612345612345678,9.9.9999,73000004813,71
482,PAYMENT_7,2 338.08,FI8612345612345678,9.9.9999,73000004826,71
483,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004839,72
484,PAYMENT_1,11 364.00,FI2112345600000785,30.8.2022,73000004842,72
485,PAYMENT_2,33 548.00,FI2112345600000785,15.12.2022,73000004855,72
486,PAYMENT_3,37 275.00,FI8612345612345678,30.3.2023,73000004868,72
487,PAYMENT_4,37 275.00,FI8612345612345678,30.6.2023,73000004871,72
488,PAYMENT_5,46 594.00,FI0365432187654321,15.2.2023,73000004884,72
489,PAYMENT_6,14 910.00,FI8612345612345678,9.9.9999,73000004897,72
490,PAYMENT_7,3 728.94,FI8612345612345678,9.9.9999,73000004907,72
491,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004910,73
492,PAYMENT_1,7 519.00,FI2112345600000785,30.8.2022,73000004923,73
493,PAYMENT_2,23 661.00,FI2112345600000785,15.12.2022,73000004936,73
494,PAYMENT_3,26 290.00,FI8612345612345678,30.3.2023,73000004949,73
495,PAYMENT_4,26 290.00,FI8612345612345678,30.6.2023,73000004952,73
496,PAYMENT_5,32 862.00,FI0365432187654321,15.2.2023,73000004965,73
497,PAYMENT_6,10 516.00,FI8612345612345678,9.9.9999,73000004978,73
498,PAYMENT_7,2 628.30,FI8612345612345678,9.9.9999,73000004981,73
499,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004994,75
500,PAYMENT_1,5 305.00,FI2112345600000785,30.8.2022,73000005003,75
501,PAYMENT_2,17 966.00,FI2112345600000785,15.12.2022,73000005016,75
502,PAYMENT_3,19 962.00,FI8612345612345678,30.3.2023,73000005029,75
503,PAYMENT_4,19 962.00,FI8612345612345678,30.6.2023,73000005032,75
504,PAYMENT_5,24 953.00,FI0365432187654321,15.2.2023,73000005045,75
505,PAYMENT_6,7 985.00,FI8612345612345678,9.9.9999,73000005058,75
506,PAYMENT_7,1 995.72,FI8612345612345678,9.9.9999,73000005061,75
507,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000005074,76
508,PAYMENT_1,5 126.00,FI2112345600000785,30.8.2022,73000005087,76
509,PAYMENT_2,17 507.00,FI2112345600000785,15.12.2022,73000005090,76
510,PAYMENT_3,19 452.00,FI8612345612345678,30.3.2023,73000005100,76
511,PAYMENT_4,19 452.00,FI8612345612345678,30.6.2023,73000005113,76
512,PAYMENT_5,24 315.00,FI0365432187654321,15.2.2023,73000005126,76
513,PAYMENT_6,7 781.00,FI8612345612345678,9.9.9999,73000005139,76
514,PAYMENT_7,1 947.02,FI8612345612345678,9.9.9999,73000005142,76
515,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000005155,77
516,PAYMENT_1,5 028.00,FI2112345600000785,30.8.2022,73000005168,77
517,PAYMENT_2,17 255.00,FI2112345600000785,15.12.2022,73000005171,77
518,PAYMENT_3,19 172.00,FI8612345612345678,30.3.2023,73000005184,77
519,PAYMENT_4,19 172.00,FI8612345612345678,30.6.2023,73000005197,77
520,PAYMENT_5,23 966.00,FI0365432187654321,15.2.2023,73000005207,77
521,PAYMENT_6,7 669.00,FI8612345612345678,9.9.9999,73000005210,77
522,PAYMENT_7,1 918.31,FI8612345612345678,9.9.9999,73000005223,77
523,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000005236,78
524,PAYMENT_1,3 041.00,FI2112345600000785,30.8.2022,73000005249,78
525,PAYMENT_2,12 145.00,FI2112345600000785,15.12.2022,73000005252,78
526,PAYMENT_3,13 495.00,FI8612345612345678,30.3.2023,73000005265,78
527,PAYMENT_4,13 495.00,FI8612345612345678,30.6.2023,73000005278,78
528,PAYMENT_5,16 868.00,FI0365432187654321,15.2.2023,73000005281,78
529,PAYMENT_6,5 398.00,FI8612345612345678,9.9.9999,73000005294,78
530,PAYMENT_7,1 349.71,FI8612345612345678,9.9.9999,73000005304,78
531,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000005317,79
532,PAYMENT_1,9 588.00,FI2112345600000785,30.8.2022,73000005320,79
533,PAYMENT_2,28 980.00,FI2112345600000785,15.12.2022,73000005333,79
534,PAYMENT_3,32 200.00,FI8612345612345678,30.3.2023,73000005346,79
535,PAYMENT_4,32 200.00,FI8612345612345678,30.6.2023,73000005359,79
536,PAYMENT_5,40 250.00,FI0365432187654321,15.2.2023,73000005362,79
537,PAYMENT_6,12 880.00,FI8612345612345678,9.9.9999,73000005375,79
538,PAYMENT_7,3 221.61,FI8612345612345678,9.9.9999,73000005388,79
539,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005391,80
540,RIGHT_OF_RESIDENCE_FEE,18 640.00,FI2112345600000785,30.6.2022,73000005401,80
541,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005414,81
542,RIGHT_OF_RESIDENCE_FEE,32 444.00,FI2112345600000785,30.6.2022,73000005427,81
543,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005430,82
544,RIGHT_OF_RESIDENCE_FEE,23 385.00,FI2112345600000785,30.6.2022,73000005443,82
545,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005456,83
546,RIGHT_OF_RESIDENCE_FEE,29 589.00,FI2112345600000785,30.6.2022,73000005469,83
547,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005472,84
548,RIGHT_OF_RESIDENCE_FEE,33 825.00,FI2112345600000785,30.6.2022,73000005485,84
549,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005498,85
550,RIGHT_OF_RESIDENCE_FEE,23 659.00,FI2112345600000785,30.6.2022,73000005508,85
551,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005511,86
552,RIGHT_OF_RESIDENCE_FEE,30 199.00,FI2112345600000785,30.6.2022,73000005524,86
553,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005537,87
554,RIGHT_OF_RESIDENCE_FEE,34 169.00,FI2112345600000785,30.6.2022,73000005540,87
555,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005553,88
556,RIGHT_OF_RESIDENCE_FEE,23 901.00,FI2112345600000785,30.6.2022,73000005566,88
557,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005579,89
558,RIGHT_OF_RESIDENCE_FEE,30 508.00,FI2112345600000785,30.6.2022,73000005582,89
559,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005595,90
560,RIGHT_OF_RESIDENCE_FEE,24 465.00,FI2112345600000785,30.6.2022,73000005605,90
561,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005618,91
562,RIGHT_OF_RESIDENCE_FEE,30 793.00,FI2112345600000785,30.6.2022,73000005621,91
563,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005634,93
564,RIGHT_OF_RESIDENCE_FEE,20 428.00,FI2112345600000785,30.6.2022,73000005647,93
565,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005650,94
566,RIGHT_OF_RESIDENCE_FEE,20 209.00,FI2112345600000785,30.6.2022,73000005663,94
567,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005676,95
568,RIGHT_OF_RESIDENCE_FEE,30 793.00,FI2112345600000785,30.6.2022,73000005689,95
569,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005692,96
570,RIGHT_OF_RESIDENCE_FEE,33 633.00,FI2112345600000785,30.6.2022,73000005702,96
571,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005715,97
572,RIGHT_OF_RESIDENCE_FEE,20 854.00,FI2112345600000785,30.6.2022,73000005728,97
573,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005731,98
574,RIGHT_OF_RESIDENCE_FEE,20 635.00,FI2112345600000785,30.6.2022,73000005744,98
575,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005757,99
576,RIGHT_OF_RESIDENCE_FEE,31 427.00,FI2112345600000785,30.6.2022,73000005760,99
577,RESERVATION_FEE,1 000.00,FI2112345600000785,12.4.2022,73000005773,101
578,RIGHT_OF_RESIDENCE_FEE,30 766.00,FI2112345600000785,30.6.2022,73000005786,101
